時間戳記,檔案版本,暱稱,縣市區,路名（區域）,數量,派送時間,發送狀況,備註,已整理過請打勾
2014/4/10 下午 9:33:36,Bee140405黑白,半糖去冰,台北市文山區,從興德路30巷到興德路32巷第一棟(含菜市場),50,4/10/2014,住宅區 投入住家信箱,,
2014/4/10 下午 9:48:21,Bee140405,,台中市豐原&東勢區,豐原客運總站.中山路.三民街.東勢南站,50,4/10/2014,印製了100張，雖然只發了半小時，但是卻發了一半，很多店家都樂意協助放置文宣，另一半會在近期內發放完畢。,或許因為是個高中生手上卻拿著一大堆的文宣引來別人側目，我在台中車站準備搭火車就有個人盯著我看，直到快下車的時候他就問我是不是要發的，回答他是之後他就開始唱衰我的行為，害我在一群人中只能乾笑...，不過大部分的人都會跟你微笑！,
2014/4/10 下午 10:07:57,bee140405,夜,屏東縣東港鎮,新勝街,50,4/9/2014,"因為要上班所以是利用時間偷偷塞信箱
不過我這邊的人通常都是不看居多",會被以為是奇怪的人,
2014/4/10 下午 10:27:16,Bee140409,阿囧,新北市汐止區,水源路二段88巷1弄,24,04/10/2014,順利,,
2014/4/10 下午 10:29:28,Bee140405,隨意,台北市內湖區,陽光街96號-120號,70左右,41014,主要是將傳單塞到家戶信箱裡面,陽光街上人不多但車多。10點多去塞傳單有碰到一些正要回家的人，就以發傳單的人身分微笑面對。,
2014/4/10 下午 10:32:53,bee140409條例比較版，bee140405b,妞妞,宜蘭市,農權路與健康路二段附近,各五十分,9/4/2014,因為是塞信箱所以沒什麼問題,,
2014/4/10 下午 10:35:47,自製版監督條例比較,鋁罐,新竹市,民權中華路口至民權三民路口路段間之所有延伸巷子,250份,4/10/2014,"皆投置信箱, 但有些大廈無法進去投遞, 沒遇到任何人嗆聲或聲援","自己鬼鬼祟祟的有點逗, 發放的進度比想像中慢, 建議信箱發送的人別帶太多宣傳品在身上
",
2014/4/10 下午 10:38:09,服貿如何影響我們的醫療業+政院民間版比較,beemo,新北淡水區,大忠街,40,04/10/2014,"投大樓信箱,管理員都沒有管,帶太少一下就沒了",,
2014/4/10 下午 10:52:52,"健保繳全額,幫陸人買單版",橘子醬,新北市樹林區,千歲街61巷12弄,約30份,2014/4/10,放公寓信箱,巷弄太暗了...一個人會怕...這附近會再找白天的時間發,
2014/4/10 下午 11:05:51,Bee140405 & 服貿X醫療,新竹野內蜂,新竹市東區,光復路一段89巷123 號,雙面*50,04/10/2014,,,
2014/4/10 下午 11:06:52,版本編號 Bee140405,M,桃園縣蘆竹鄉,竹中街,100,04/10/2014,,,
2014/4/10 下午 11:08:14,為何要監督條例版,準哥,台北市,南昌路2段靠婦幼醫院側(和平西~潮州街),50,4/10/2014,順利 家具街通常較少出門 都投信箱 有公寓就全部都投,晚上約10:40開始投 非常順利,
2014/4/10 下午 11:13:58,bee20140405/服貿對看病有什麼影響 ,小麥,南投縣埔里鎮,部分南興街+部分西安路,兩版各50張裝訂成50份,2014/04/10,有一位看似有藍色政黨立場的民眾拒絕拿文宣，但很和平,今日多半受到鎮民鼓勵，感謝我們替他們發聲! 感動!,
2014/4/10 下午 11:20:40,憲政危機,W,新北市新莊區,瓊泰路,50,4/10/2014,只有將傳單丟到信箱裡~,,
2014/4/10 下午 11:29:07,Bee140409M醫療版,Mika,台中市西區,公益路(勤美市民廣場),60,04/10/2014,配合「草地公民論壇－醫療與服貿」演講發送,,
2014/4/10 下午 11:40:47,Bee140405黑白,leng,文山區,保儀路109巷,200,04/10/14,,,
2014/4/10 下午 11:45:25,服貿醫療版Bee140409-M,Only mei,臺中市,西區公益路與綠園道交叉口(市民廣場),88,2014/4/10,很順利，拿100張剩12張是因為個人因素。,大部分很願意拿，也蠻多人要我們加油，說他們很佩服，發的很開心。,
2014/4/10 下午 11:59:16,行政院與民間版比較,鴻,雲林元長,中山路,當時身上約20張,4/10/2013,"跑去認識的租書店老闆
老闆很阿莎力的全收下了","其實很多店家都不太願意阿
不過還是要努力一家一家找",
2014/4/11 上午 12:40:08,Bee140405BW,小R,文山區,興隆路4段74巷、木新路三段,50,4/10/2014,"偷偷塞到住戶家的信箱中
",有沒有發到後來會搞不清楚哪個有發過哪個沒發過的八卦QAQ,
2014/4/11 上午 12:44:52,反服貿不等於反開放,快閃小蜜蜂,台中市西區,大墩十四街附近住家,150,04/10/103,豪宅和高級透天我會略過,晚上發滿順利的,
2014/4/11 上午 12:55:42, Bee140409,王啾啾,桃園縣觀音鄉,敬業街,30,04/10/103,無異狀,無異狀,
2014/4/11 上午 2:03:05,Bee140405B,,台中市,市政南一路、惠文七街,250,04/11/2014,,,
2014/4/11 上午 2:09:12,Bee140405B,,台中市西屯區,河南路四段（市政路到大業路間）、河南路190巷及208巷,230,04/11/2014,投信箱或壓在店家鐵門下，深夜出門散步順便發，沒有困難XD,剛剛還沒打完不小心按到enter送出，我和表單246項是同一個！請板主幫忙合併地址，謝謝QQ,
2014/4/11 上午 9:54:58,A:[民間版vs政府版(外框)_fix]+[Bee140405B-W]   B:[反服貿不等於反開放]+[服貿x醫療 變造版] 皆A4黑白雙面 ,腦洞,台北市內湖區 東湖,"1.地址為""康寧路三段189巷xxx""的地區    2.東湖路1-100號及周邊巷弄(以雙數邊為主，發到菜市場前一條巷子為止) 3.康樂街約100-200號及周邊巷弄(東湖國中附近)",A  835份,04/11/2014,"信箱發送  先前在康樂街發的朋友，我應該沒有重複發到您送過的地方吧？　  
另在康寧路巷內放有自由時報的豆漿店，徵得老闆同意後留下數份文宣

A4橫向折3等份，文宣量大時這工作很花時間，但此區有不少信箱口窄到只能塞入這個寬度，因此建議可折對半跟三等份各一部分，照信箱口丟。
","本來打算在社區裡發送，印了A*1500份，B*700份，但社區警衛表示必須先去管委會報備，並白天發送，以免半夜被攝影機照到，會造成其他住戶不快。我不想留下紀錄，因此決定改到社區外發放。目前還有已摺成三等份的A*665份、B*700份，預計在萬華地區發完。若有人要幫忙發，也可約在北車/西門一帶交送文宣XD

雖然能當面給傳單最好，但還是想提供一點""怎麼才像個送報阿桑"" 的撇步給只打算投信箱的朋友。

1.衣著:鴨舌帽+薄長袖外套+長褲+運動/平底鞋。
  請預想若自己要在這種微熱天氣，帶一大包文宣騎機車再走上五六個小時的話會怎麼穿。如果能加上手套，甚至是連臂手套的話效果更好。我是戴薄橡膠手套，會比較好發，也可以避免手指沾上油墨又汙染傳單。

2.不用理會旁人。
   看到信箱(尤其是平房公寓的多個信箱口)就用最堅定的態度，面無表情、毫不遲疑地上前神速發送(但同時迅速分辨、跳過閒置已久的信箱)，然後擺出""拎杯還有一整箱要發，沒空在此地蹉跎""的神色，理所當然地大步離開。

在白天用這招應該就不太會被懷疑，就連發送時公寓住戶剛好出門撞見也毫無反應。如果沒有互動預定，並打算白天發放的話可以試試看。
",
2014/4/11 上午 10:03:24,Bee140405,,台北市吳興街,284巷22弄,約兩百份,04/11/2014,"普遍都很友善，
也有大哥說自己有去衝行政院，
很謝謝年輕世代的我們:)",,
2014/4/11 上午 10:35:20,Bee140405,隱形蜂,台中市,學士路269~279號,268,4/9/2014,投遞信箱~,無,
2014/4/11 上午 10:36:44,Bee140405,小涼,新北市三重區,中正北路與忠孝路二段一帶,300～400,04/11/14,詳細路段如連結，http://images.plurk.com/85jO4PYiK.jpg,另外早上有問力行路一段的興和牙醫，已答應放服貿x醫療傳單，大概十多張。大家加油！！,
2014/4/11 上午 10:40:03,Bee140405,膽小蜂,台北市內湖區,康樂街72巷到136巷,100,04/11/2014,順利!,"昨天發在自家公寓的，8份被回收4份...有點傷心QQ
有沒有什麼辦法可以讓大家更有興趣去看呢?
不然都會覺得好可惜....",
2014/4/11 下午 12:04:13,服貿對看病有什麼影響-A面,小蝸,台中市北區,中國醫藥大學附設醫院,80,4/11/2014,"發醫院週邊和候診區,有點害怕,但大部分的人都願意拿~約40分鐘發完,還算滿順利的",,
2014/4/11 下午 12:37:06,Bee140405,Berg Louise,新北市土城區,學府路一段189巷,100,4/11/2014,發送至信箱，一切OK,,
2014/4/11 下午 12:48:08,漫畫版,fBhdvxjcn,台北市大安區,和平東路二段，國北教大附近,50,4/11/2014,,,
2014/4/11 下午 12:49:10,比較版,fBhdvxjcn,台北市大安區,復興南路二段，國北教大附近,50,4/11/2014,,,
2014/4/11 下午 12:50:58,民間版vs政府版(外框)_fix.pdf,隨手發傳單救救我們的台灣,高雄市,火車站和捷運站之間的廣場,100,4/11/2014,有人經過就主動遞出,"感謝『填問卷集團』和『愛心筆集團』的長期耕耘
所以路人相對冷漠
一定要不斷的吆喝『請支持民間版服貿審查條例』
才會有願意拿傳單的人

或許下次要發送類似場所的蜜蜂們
可以在裝扮上
讓路人一眼看出是發送反黑箱服貿的議題
這樣或許會比較容易發傳單吧",
2014/4/11 下午 12:51:46,漫畫版,fBhdvxjcn,台北市大安區,和平東路二段，國北教大門口,15,4/11/2014,放在警衛室門口，讓路人自由取閱,,
2014/4/11 下午 1:03:39,小蜜蜂v20140405(彩色版),JL,桃園縣平鎮市,埔心車站附近: 中興路、文化街,60份,04/10/103,晚上九點半，看到信箱就塞。當做晚上運動，來回走了30分鐘左右。,,
2014/4/11 下午 1:37:13,140405+醫療,好您心如何,嘉義縣,朴子市鬧區,900,4/10/2014,越發越勇，勇氣是可以養成的。很多不知道與不關心的人。讓小蜜蜂更顯意義！,了解社運、發傳單的辛苦，更了解在立法院參與同學的無力。此活動能讓更多人正視這個議題，也希望有更多人關心。所以支持到底！天佑台灣！加油！,
2014/4/11 下午 2:05:51,Bee140405B-W,大狼蜂,桃源縣龍潭鄉,建國路,60,4/11/2014,"建國路為主,包含店家,和碰到的路人","便利商店拒絕讓我們放文宣,有些人會譏諷也不願聽我們解釋為何反黑箱服貿及訂立監督條例重要,但大部份的人都很和善,不要被順民打擊繼續堅持就好,畢竟我們是依據信念行事",
2014/4/11 下午 2:25:49,Bee140405,花蜜蜂,高雄市,鳳山捷運站、新莊高中、中山大學、文化中心、梓官、三多商圈、火車站前站、火車站後站、三多一路郵局、勞工局,700,4/11/2014,今天以免費贈送蘋果日報的方式夾報派送。,夾報好麻煩喔!,
2014/4/11 下午 2:34:19,綜合了服貿*醫療、為什麼我們不要馬英九的逐條審查?、誰的叫好?監督條例比一比、,Venessa,台南市,長榮路、勝利路和開元路的小巷子內,1000,04/10/2014,"我們以投遞信箱的方式發送，所以只有碰到少數的人，不過拿到傳單的民眾都很有興趣的看傳單內容，也沒有對我們說些奇怪的話。
比較特別的是，有一個社區的管理員在一開始時有詢問我們所發送的傳單，一直反覆地問「你們是哪裡來的?」、「你們有政治色彩嗎?」，後來我們就回應他「我們只是很單純的學生，這些文宣是我們自己自費印製的，沒有任何單位派我們來，我們是自發性的。因為我們是醫學相關科系的學生，所以我們過濾了一些有關服貿對醫療影響的資料後想要將一些訊息傳達給大家知道。你可以先看看內容，如果管理員你覺得不妥，我們可以不要發送。」管理員：「你們是哪個學校的醫學?」我們：「成大」管理員：「那OK」，然後管理員就拿著我們的傳單回管理室研讀了好一會兒。我們離開時有跟他說「謝謝，再見」，他也只有跟我們揮揮手接著就繼續埋頭研究傳單內容，並未跟我們說些其他的。",要謝謝大家如此用心的製作這麼多版本的文宣，並提供我們索取使用，真的是感激不盡！這社會真的是臥虎藏龍、人才濟濟啊！大家繼續加油！辛苦了！,
2014/4/11 下午 3:53:50,先立法再審查-政院版與民間版比較,嗡嗡章魚,台中市,永平路至永平路395巷和向心南路,100,4/11/2014,"放送信箱 , 遇到的民眾有些很冷淡 , 有些很熱情",遇到住家養狗要特別小心,
2014/4/11 下午 5:01:32,Bee140405,ayane,新北市淡水區,仁愛街～仁愛街18巷,約44份,4/11/2014,順利喔～不過很多老公寓都沒信箱ww,,
2014/4/11 下午 5:02:25,Bee140405,ayane,新北市淡水區,清水街,24,4/11/2014,順利，基本上沒什麼住家,,
2014/4/11 下午 5:07:20,圖解服貿,鈴,台中市霧峰區,柳豐路亞洲大學校內,50,04/11/2014,"中午過後在校內繞著發。
順利，雖然有被一些人拒絕，但是基本上同學都願意拿，都是自己上前給的，給的都是兩人以上。","希望是先從自己學校的學生開始，並從最基本的服貿是什麼開始，希望讓更多人知道，而且同學的反應大多是「哇喔」，也有發給3.4位長輩，雖然反應都較為冷淡但是都願意拿，最近天氣越來越熱了希望大家能注意自身健康再外出發。
因為看見沒有霧峰區的蜂巢所以自己來，因為個人外出不方便所以就沒有開設了，因此才會從校園開始。",
2014/4/11 下午 5:12:32,正：先立法再審查,,信義區,花源一三五七街、威震八方約20戶,約200份左右,04/11/2014,,,
2014/4/11 下午 5:13:19,正：先立法再審查，反：醫療,,基隆市信義區,花源一三五七街、威震八方約20戶,約200份左右,04/11/2014,,,
2014/4/11 下午 5:22:18,兩岸協議監督條例比較版p1-2,瓜仔蜂,新北市板橋區,自強新村92巷,10,04/09/2014,"住宅區密集，但定期有巡邏警衛所以不敢發太多家，只有投自家樓跟附近鄰居XD""",附近有些都是租屋或是空屋，看信箱很多廣告單都沒清的，大概就不用發了，有很大機率屋主不常回來或是不住那。,
2014/4/11 下午 5:29:16,關於服貿 你需要知道的原貌,freshDoyu,台北市大安區,杭州南路二段和金山南路二段中間住宅區，未過和平與金華街,150份,4/11/2014,下午行人比較少，順利投放完畢，但不太夠明天繼續,好緊張，但其實不要心虛，這不是什麼見不得人的事情，比起在路上發文宣還簡單，大家加油！,
2014/4/11 下午 5:46:05,Bee140405B-W,Raimu,新北市汐止區,福德一路長堤社區,49,04/11/2014,"在社區信箱投遞
目前完成一棟大樓
大約還有六棟大樓還要找機會丟",毫無懸念,
2014/4/11 下午 5:56:27,Bee140409M醫療版,鄭星濤,新北市淡水區,水源街一段到原德路,280,2014/4/11,"只對集合公寓信箱發送,沒有發送給店家","其實店家也是相當受到影響的一群,再想是否也要向店家宣傳",
2014/4/11 下午 6:00:47,Bee140405/馬政府正在騙我們的事/兩岸協議監督條例比較版,lin,台中市,陝西二街,50,4/10/103,投信箱和發電家,,
2014/4/11 下午 6:02:58,Bee140405/馬政府正在騙我們的事/兩岸協議監督條例比較版,lin,台中市,火車站,120,4/11/103,發給路人 多為年紀較大者,"有遇到罵我們什麼都不懂的
有遇到要我們加油的
有遇到昨天才從立院回來的
但是大部分的人是不拿的 
也有人說我不懂也不想懂",
2014/4/11 下午 7:02:52, Bee140405+給長輩的大字版DM 服貿對看病的影響+簽不簽服貿甘我ㄆ事+健保費漲幫大陸人買單,公裕街居民,屏東市,信義街-廣東路叉口,70,4/10/2014,"工作的地方剛好有人詢問""你知道服貿是甚麼嗎？我們大人都忙工作不知道""（可能以為我是學生），又得知他是開餐廳的，趁機問了方不方便放一疊文宣在店裡，也分別去問了幾家餐廳",其實餐廳禮貌拒絕的還是滿多的（我只成功1家），大部分的文宣都是塞餐廳外面的機車,
2014/4/11 下午 7:52:44,漫畫版_順序調整,阿森的媽,台中市豐原區,永康路到豐原大道,150,04/09/14,嘗試在未設置信箱的家庭外，將傳單夾在汽機車上,夜間發送，巷弄路燈不多，請夜間發送的小蜜蜂們記得要帶手電筒,
2014/4/11 下午 7:55:14, 監督條例比較版+Bee140405,如如,台北市中正大安區,金山南路一段單號側與附近捷運站,40+50,4/11/14,住戶跟捷運站路過的行人,服貿監督條例宣傳加油! 公投盟一千多天的努力 我們才剛剛開始啊!,
2014/4/11 下午 8:10:09,Bee0409v2,beebee,新北市蘆洲區,長安街46巷到68巷,100,04/11/2014,公園老人家不識字，但我不會講台語解釋orz,越來越熟練~,
2014/4/11 下午 8:15:18,監督 看病,,台北市大安區,安和路二段 仁愛路四段266巷18弄 國泰醫院後,60,4/11/2014,投信箱,,
2014/4/11 下午 8:43:00,服貿對看病有什麼影響 (單面)／服貿x醫療_140405-2,左手太陽花,桃園縣桃園市,中山東路（春日路口到國光街口）並延伸中央街自強路,各100(共200),4/11/2014,穿成發傳單的樣子(?)、順利,"200張有累O<<
然後發的時間點好像不對
想針對診所前的機車
結果診所前沒啥車...我可能發到員工的機車去了....",
2014/4/11 下午 9:13:26,Bee140409M、服貿對看病有什麼影響,icebee,永和區,保福路二段88巷、94巷,各50份,4/11/2014,"挨家挨戶投信箱，只投傳統小公寓，大樓就略過了><""","由於是網路一族，所以不確定現在一般大眾的資訊到哪個階段了，先投醫療業傳單比較不會讓人覺得資訊太落伍或太超前(?)

另外自己在傳單最下面，手寫下永和區立委的服務電話和呼籲""和民代一起監督政府""，不知道會不會引人反感><""",
2014/4/11 下午 9:25:40,監督條例+醫療老人版,少女蜂,新北市三重區,五華街+溪尾街診所藥局,450份,04/11/2014,"中醫西醫診所和藥局都有去詢問意願!
18家願意拿,每一家放30張,有一些會不想拿那麼多!
6家拒絕
3家猶豫
比例還算高!","有一些是怕妨礙工作或是覺得議題敏感,也有些直接很反感的拒絕~
被拒絕也要有禮貌的說謝謝,人家越討厭我們要越有禮貌^_^
中醫其實蠻建議去放的會有很多老人家在那裏!
很多中年老闆會表示支持和有興趣了解,但也有少數覺得老人版很難懂~''~
在診所遇到服貿醫療團退的護士小姐,說要幫我發^___^,在許多地方有很多支持的人,被拒絕了也不要灰心!要堅持下去大家加油!",
2014/4/11 下午 10:13:14,最後一本書（出版自由）,小嗡嗡,台南巿東區,林森圖書館,40,04/11/2014,,在書庫門口看到「本館錄影中」時心裡抖了一下，但我又不是要偷書為何要抖 XD 因為想挑一些（自以為）較具知名度、容易外借出去的小說夾傳單，花的時間比預期中長。將傳單夾在圖書館裡的書發揮的效果可能不比挨家挨戶來得大和快，但總比不做得好呀。,
2014/4/11 下午 10:22:58,先立法再審查,CL,台中市,勤美(市民廣場)與4/11公民講堂同步,200,4/11晚上,已發送,,
2014/4/11 下午 10:41:49,先立法再審查--政院版與民間版比較,便所嗡,台中市南區,國光路開頭，旁及愛國街、濟世街,150,2014/04/11,投遞信箱，早上8點或晚上9點後發，沒什麼人看到,一個blog至少準備個100份比較保險,
2014/4/11 下午 11:13:21,服貿對看病有什麼影響,專業小蜜蜂,台北市內湖區,環山路一段,1000,2014/04/11,無意狀,好熱,
2014/4/12 上午 12:02:49,Bee140405,玩具蓬,汐止區,忠孝東路410號土25號,200,4/11/2014,"投遞信箱,並無碰到狀況",沒想到200張一下就發完XDDDD,
2014/4/12 上午 12:06:40,服貿對看病的影響(雙面)、醫療x服貿,Jasper,彰化縣員林鎮,大安街、大成街、永興街、大勇街、華興街、長泰街、大仁街,300,4/10/2014,沿街塞信箱，無信箱的就放轎車擋風玻璃或機車上。,有管理員的大廈不給塞信箱。,v
2014/4/12 上午 12:08:33,圖解服貿+醫療服貿,睏兒童,高雄市小港區,小港醫院四周,各500份,4/12/2014,兩張傳單摺在一起，幾乎全部都是夾機車，少部分丟信箱,摺紙花的時間（2.5個人約花了1個多小時）比發送時間（三個人花了1小時）略長，不過沿路夾機車沒遇到什麼困難,
2014/4/12 上午 12:10:17,服貿對看病的影響、醫療x服貿、圖解兩岸協議監督條例、現在看病是最簡單的小事,Jasper,彰化縣員林鎮,永興街、大仁街、永裕街、永福街、華興街,300,4/11/2014,沿街塞信箱。,,v
2014/4/12 上午 12:43:02, Bee140405,萬華小蜜蜂,台北市萬華區,廣州街66號~龍都附近,80,4/12/2014,暫無異狀,因艋舺夜市這邊，店家多半開著，而且龍蛇雜處...不太敢直接投，多半投住家，或已休息的店家。明天會再繼續...,
2014/4/12 上午 2:28:22,Bee140405,台南小蜜蜂戰鬥隊,台南市舊市區,東區附近,6000,04/11/14,"台南小蜜蜂戰鬥隊 府城遍地開花 聯合活動
5000份 140405   1000份醫療篇  
分成六個點
街區
1. 成功路北側 2 青年路南側 3.光明街南側
定點:
1.台南火車站前站 2.大東夜市 3.國賓電影城附近",小蜜蜂萬歲!,
2014/4/12 上午 4:09:30,Bee140409(民間版跟政院版比較）和Bee14409M（醫療版）雙面印刷,小海,北市內湖,港墘路26巷，港華街85巷&港華街85巷之前號碼,500,04/11/2104,約晚間十一點派送,,
2014/4/12 上午 7:49:30,最後一本書（出版自由）,阿啾小蜜蜂,高雄市三民區,寶珠圖書館和三餘書店,200,04/11/2014,下午到寶珠圖書館將文宣夾在書版當中。晚上到三餘書店拜託店長放出版自由的文宣，店長非常阿莎力的同意，內心由衷感謝！,繼續加油！,
2014/4/12 上午 7:53:44,服貿x醫療,蜜蜂寶寶,新北市新店區,玫瑰路58巷、富貴街18巷,200張,103/4/12,投遞信箱，201張全數投遞。,大清早五點多到六點半去投的，假日一早沒遇到住戶。,
2014/4/12 上午 8:06:10,Bee140405,葉葉,台北市北投區,石牌站,300,4/12/2014 ,17:30-18:00  約動員5個同學  發了第四次了XD, 我們都是bj4 像發廣告傳單略折一半塞到人家面前，頂多燦笑說歡迎參考一下，讓她們還沒來的及預設立場就拿了!推等紅綠燈、公車站牌，今天在石牌發超過半小時終於遇到保全了XD 不過也還好啦 呵呵！,
2014/4/12 上午 8:44:08,Bee140405B-W、服貿對看病有什麼影響（單面）,Rita,臺北市南港區,"研究院路二段單號排的信箱、研究院路二段，研究院路二段84巷,研究院路二段34巷，研究院路一段單號邊165號之後",300,4/11/2014,"此區在凌晨人很少,發送還是要小心安全",大家加油,
2014/4/12 上午 8:50:15,A:民間版vs政府版/Bee140405B-W  B:反服貿不等於反開放/服貿x醫療 變造版,腦洞,台北市萬華區 ,長泰街+武成街+德昌街一帶巷弄,A*300份 B*200份,04/11/2014,投信箱,這些區域不少無信箱的獨棟住宅，發放數量比想像中少  明天換條街繼續,
2014/4/12 上午 9:44:51,Bee140405,菜籽,桃園縣楊梅市,大模街,6~60號(雙數),04/10/2014,晚上投遞信箱,投遞信箱要摺起來比較好遞送，不然會很容易被信箱蓋夾到。,
2014/4/12 上午 9:58:21,Bee140405B-W,燃燒的蜂蜂,台北市 大安區(台大),新生南路三段,200,04/11/2014,找的都是二樓以上的住戶信箱，害怕當成廢紙，故意把有字的那一面朝外，a4紙折成三折。新生南路三緞，其實我找的是到辛亥路三段中間的居民，未來希望到大安森林公園的國宅區，那裏老人很多，估計是藍營鐵票倉。,,
2014/4/12 上午 10:40:39,Bee140409M醫療版,蜂子,新北市板橋區,縣民大道三段76巷/63巷9.6弄,200,4/11/2014,"第一次投信箱 看到有人就好緊張XD
順便了一些放在自家大樓 管理員同意~",,
2014/4/12 上午 11:57:57,Bee140405,渣渣,臺北市,寧夏路,50,41214,,"靜修女中旁的印刷店表示可以以較低的價格幫忙印刷
因為是第一次投文宣所以先小小印50張而已，很快就發完了><",
2014/4/12 下午 12:27:57,Bee140405,JC,桃園縣平鎮市,民族路五段,50,4/11/2014,,,
2014/4/12 下午 2:11:27,Bee140405B的彩色版,匿名,台南市東區,台南火車站區塊,100,04/12/2014,跟朋友在台南火車站內、火車站附近發送，分隔兩次時間發送(約間隔半小時至一小時)，主要發送給正在等車不知道做什麼、或是站在火車站等人的旅客，以及經過火車站的人，年齡層則是大學生至50~60歲。發送時說：「不好意思，有空的話請看看這張，不需要的話請還我就可以了。」主要是擔心被馬上丟掉，所以會先徵詢是否有意願收下。,(1)願意拿傳單的人比不願意的還多，不願意拿的人感覺有部分是已經有在關心這個議題的年輕人或新手爸媽。(2)有拿到的人，認真看的感覺還不少。(3)有些有在關心的年輕人提出這是哪個版本的監督條例，但是因為我這邊沒有政院版跟民間版比較的DM，所以沒辦法給他 囧bbb (4)有些民眾知道我們是小蜜蜂還會給我們打氣，真的很感動 :D,
2014/4/12 下午 2:40:26,Bee140405,dysile,台北市大安區,復興南路二段210巷,50,2014/04/12,假日，大多投信箱,,
2014/4/12 下午 2:49:29,Bee140405B-W 彩色版,阿魚,新北市鶯歌區,建國路菜市場、彰鶯肉圓、光復街7號-9號信箱,300張,04/12/2014,攤商和買菜民眾都算友善，沒有被嗆聲。,下次要DIY把選區立委的名字和電話貼在文宣背面，才能在第一時間告訴民眾可以打電話給立委。,
2014/4/12 下午 2:51:15,Bee140405B-W 彩色版,阿魚,新北市鶯歌區,福德一路佳欣快餐至OK便利店、福德二街1號至24號,150,04/12/2014,投信箱、夾在汽車雨刷,,
2014/4/12 下午 2:51:52,Bee140405B-W 彩色版,阿魚,桃園縣八德市,福德二街25號至48號,50,04/12/2014,投信箱,,
2014/4/12 下午 3:00:26,醫療版,瑪,台南,成大醫院周圍,200,4/12/2014,"發的時候將字線給對方看並且說明請支持先立法後審查之類的口號
大多數的人都願意拿","可以跟計程車大哥好好解釋目前情況
有些大哥會願意在車裡放文宣給客人看",
2014/4/12 下午 3:16:17,bee140405,阿給,高雄市,梓官區大舍西路1巷至4巷,100,04/12/14,採取將文宣發到信箱的做法，發放時間大部分人在睡午覺，只有少數的狗兒會吠叫。文宣印太少了大概可再增加一倍，這樣整個社區發放量才夠。,"因為這邊中老年居民較多，本來想順道發放服貿對醫療的影響，但文宣還在印製中只好先發放第一批的文宣。
一開始想說昨晚的包圍分局活動會對發放產生影響，但還好沒人對我嗆聲，又應該說根本沒人理我，哈哈哈。",
2014/4/12 下午 3:58:27,監督條例版20140409v3,費許,萬華,萬大路187巷,100,04/12/14,,有點害羞,
2014/4/12 下午 4:18:55,服貿x醫療,布魯[中正區小蜜蜂],台北市中正區,三元街&汀州路一段右側,1000,4/12/2014,,,
2014/4/12 下午 4:25:52,服貿影響醫療,whoknows,台中市,中山醫學大學附設醫院,80,4/7-9/2014,"路邊先發，發剩的改放門診椅子上
路邊發成功機率七成
","只有正午時人會很多，卻多到難發
12點半後開始人比較少，可是反而好發
不要發急著看病的人
建議一點半趁門診區沒很多人先去放椅子，之後兩點開診幾乎都被拿去看了",
2014/4/12 下午 5:34:40,漫畫版跟服貿x醫療,家家,新北土城,明德路48巷，延吉街353巷，363!,因為有些發給公司附近，所以大約80幾份,103/04/12,經過的人，好像都把我當ㄧ般發廣告的人，所以都沒理我，不過經過我的人也很少啦！,店家的，我是用信封裝，信封上寫『請撥ㄧ點時間看，也請放在店裡分享給客人看』，夜間部下課後，從鐵門的小洞投進去！,
2014/4/12 下午 6:47:56,監督,,台北市萬華區,西寧南路,30,4/12/2014,投信箱,,
2014/4/12 下午 7:03:40,醫療版,革命尚未成功我仍需努力,桃園縣龜山鄉,紅寶社區,150,04/12/103,整體不錯。,注意狗叫,
2014/4/12 下午 7:24:30,政院版vs.民間版,蜜亞,台北市中正區,中華路二段，南海路起至底，紹安街之間,500,4/12/2014,投信箱,"沒有遇到什麼困難，路上遇到一兩個人剛好進家門，也沒有多問。
不過，許多一樓店面沒有信箱可以投....",
2014/4/12 下午 8:06:37,服貿x醫療+bee140409條例比較版,車,高雄市鳳山區,新富路100號(新育幼稚園)前兩側,各100,2014/4/12,有店家，應該選有服務業衝擊的,公寓很難判斷有沒有人住。前面有蜂友說發過新富路，但我住新富路沒收到，所以自己發前面一小段路,
2014/4/12 下午 8:41:51,Bee140405彩色版,菜籽,桃園縣楊梅市,秀才路(國寶新村)、新江路,150,04/12/2014,"基本上沒啥狀況，因為是早上11:00去的，信箱為主。
","我比較低調啦，避開人潮。
廟裡公告也貼一張，宣傳效果會大一些。",
2014/4/12 下午 8:48:07,服貿對看病有什麼影響,,新竹縣寶山鄉,嵩翠路81巷到嵩翠路70,25,04/12/2014,難,"一直有人盯著我，覺得超可怕的

今天因為假日出去散步的人較多",
2014/4/12 下午 9:07:50,bee140405,,新北市蘆洲區,長樂路152號左右，光榮路101巷,約70,4/11/2014,,,
2014/4/12 下午 9:10:55,Bee14040+服貿x醫療不可不知的三大影響,,新北市蘆洲區,長樂路152號左右，光榮路101巷,約70,4/11/2014,,,
2014/4/12 下午 9:17:53,Bee140409v2,beebee,新北市蘆洲區,長安街59號到122號,100,04/12/2014,是長安街的麥當勞那條,臉皮越來越厚,
